# Program:featureCounts v1.6.3; Command:"/work/02260/grovesd/stampede2/subread-1.6.3-source/bin/featureCounts" "-a" "/work/02260/grovesd/lonestar/Amil_Zach_Fullers_v2.00/Amil.coding.gff3" "-t" "gene" "-g" "ID" "-o" "rnaseq_gene_counts.txt" "-T" "64" "--primary" "L5-S1_S216_host.bam" "L5-S2_S217_host.bam" "L5-S3_S218_host.bam" "L5-T1_S222_host.bam" "L5-T2_S223_host.bam" "L5-T3_S224_host.bam" "N12-S1_S219_host.bam" "N12-S2_S220_host.bam" "N12-S3_S221_host.bam" "N12-T1_S225_host.bam" "N12-T2_S226_host.bam" "N12-T3_S227_host.bam" 
Geneid	Chr	Start	End	Strand	Length	L5-S1_S216_host.bam	L5-S2_S217_host.bam	L5-S3_S218_host.bam	L5-T1_S222_host.bam	L5-T2_S223_host.bam	L5-T3_S224_host.bam	N12-S1_S219_host.bam	N12-S2_S220_host.bam	N12-S3_S221_host.bam	N12-T1_S225_host.bam	N12-T2_S226_host.bam	N12-T3_S227_host.bam
Amillepora34863	Sc0000214	146717	147511	-	795	26	13	13	30	32	17	18	7	5	15	19	29
Amillepora34865	Sc0000214	178286	179428	-	1143	0	0	0	0	1	1	0	0	0	1	0	2
Amillepora34862	Sc0000214	126314	131524	-	5211	0	0	1	0	2	0	0	0	0	0	0	0
Amillepora34864	Sc0000214	175191	178039	-	2849	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora34867	Sc0000214	206057	206691	+	635	0	0	0	0	0	0	0	0	1	1	0	2
Amillepora33942	Sc0000189	3221	5509	-	2289	7	2	6	4	4	3	16	8	5	8	10	5
Amillepora33948	Sc0000189	64113	65714	-	1602	1	0	0	0	0	0	0	0	0	1	0	1
Amillepora33944	Sc0000189	50582	52207	-	1626	2	3	1	1	2	4	1	0	0	2	6	1
Amillepora33949	Sc0000189	102929	103147	+	219	0	0	0	0	0	0	0	0	0	0	1	0
Amillepora33950	Sc0000189	105681	152048	+	46368	121	76	90	140	133	102	109	132	113	136	156	133
Amillepora33951	Sc0000189	171115	172869	-	1755	7	6	11	7	4	8	10	12	5	16	6	8
Amillepora33957	Sc0000189	335172	336806	+	1635	2	4	1	5	4	0	2	0	1	1	0	2
Amillepora33956	Sc0000189	329871	332084	+	2214	38	24	21	31	32	43	29	25	16	32	24	21
Amillepora33953	Sc0000189	233980	254988	+	21009	13	17	18	16	21	28	12	27	23	27	33	33
Amillepora33952	Sc0000189	193429	222074	+	28646	40	29	16	40	32	37	18	14	16	22	22	31
Amillepora33954	Sc0000189	299016	322631	-	23616	632	365	494	663	592	622	613	666	559	694	634	748
Amillepora34580	Sc0000209	803	1060	-	258	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora34589	Sc0000209	210523	212832	+	2310	9	2	5	6	10	12	6	10	8	6	12	9
Amillepora34581	Sc0000209	82642	84841	-	2200	25	15	23	42	20	33	5	7	4	3	6	4
Amillepora34591	Sc0000209	219320	220453	-	1134	2	1	0	1	0	1	0	0	0	0	1	0
Amillepora34587	Sc0000209	187371	191456	-	4086	1	2	3	2	2	12	0	2	1	0	3	3
Amillepora34588	Sc0000209	205097	207790	-	2694	2	2	0	2	1	3	2	5	7	2	11	7
Amillepora34590	Sc0000209	217141	219277	-	2137	2	0	2	2	0	3	0	0	0	0	1	1
Amillepora34668	Sc0000211	21572	22281	+	710	1	0	1	0	0	0	0	0	0	0	0	0
Amillepora34672	Sc0000211	79120	79407	+	288	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora34669	Sc0000211	44120	50254	-	6135	1	3	3	1	1	0	17	33	22	35	26	35
Amillepora34670	Sc0000211	58685	63879	-	5195	0	0	0	1	0	0	0	0	0	0	0	0
Amillepora34671	Sc0000211	68270	81607	-	13338	28	16	20	27	42	47	21	14	14	11	26	14
Amillepora34673	Sc0000211	101292	102518	+	1227	0	0	0	0	0	1	0	0	0	0	0	0
Amillepora34688	Sc0000211	256915	258337	+	1423	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora34678	Sc0000211	140430	151749	+	11320	0	0	2	3	2	5	4	1	3	3	6	6
Amillepora34685	Sc0000211	170580	185476	-	14897	20	21	16	27	28	20	12	27	15	20	27	27
Amillepora34677	Sc0000211	130071	131084	-	1014	0	0	0	0	0	1	0	0	1	0	0	1
Amillepora34675	Sc0000211	110627	112817	-	2191	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora34686	Sc0000211	187852	189568	-	1717	1	0	0	0	0	0	0	1	0	0	0	0
Amillepora34676	Sc0000211	112827	113958	-	1132	1	0	0	0	0	0	0	0	0	0	0	0
Amillepora34683	Sc0000211	168493	169818	-	1326	11	8	5	8	8	10	11	16	15	12	21	16
Amillepora34679	Sc0000211	156479	167495	-	11017	14	8	7	9	11	13	12	8	3	15	7	18
Amillepora34687	Sc0000211	189572	190405	-	834	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora34674	Sc0000211	110246	110625	-	380	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora35520	Sc0000227	2373	8816	+	6444	22	22	23	25	15	34	20	10	12	26	21	18
Amillepora35533	Sc0000227	147312	153514	+	6203	24	7	26	23	23	18	5	9	7	3	19	2
Amillepora35524	Sc0000227	46791	48146	+	1356	0	2	2	5	4	0	3	1	2	0	2	1
Amillepora35529	Sc0000227	66926	67582	+	657	42	23	33	53	42	42	38	32	32	42	40	52
Amillepora35527	Sc0000227	59807	61007	+	1201	25	14	13	16	19	32	21	11	14	16	15	7
Amillepora35535	Sc0000227	156287	160394	-	4108	2	2	0	6	1	0	1	2	4	6	3	2
Amillepora35530	Sc0000227	71296	84302	-	13007	313	145	218	244	277	305	275	275	187	261	233	284
Amillepora35522	Sc0000227	9361	29960	-	20600	145	95	106	144	154	158	104	102	99	132	121	123
Amillepora35531	Sc0000227	122412	124061	-	1650	9	3	4	11	8	11	3	7	5	16	6	8
Amillepora35532	Sc0000227	136604	139972	-	3369	2	2	2	1	2	3	2	10	4	6	7	11
Amillepora35525	Sc0000227	50512	56700	-	6189	940	490	766	836	694	946	767	782	661	919	620	832
Amillepora35536	Sc0000227	163668	178744	-	15077	93	50	84	100	94	111	165	175	101	171	158	184
Amillepora35523	Sc0000227	33158	40850	-	7693	5	2	5	6	4	1	4	4	3	3	7	2
Amillepora32498	Sc0000160	39924	41146	+	1223	0	0	0	0	0	1	0	0	1	0	0	0
Amillepora32493	Sc0000160	2970	22240	+	19271	29	25	21	26	49	45	15	32	24	17	36	29
Amillepora32504	Sc0000160	64149	76558	+	12410	2	1	3	1	3	6	0	2	3	1	3	10
Amillepora32492	Sc0000160	1347	2021	-	675	0	0	0	0	0	0	0	1	0	0	1	0
Amillepora32494	Sc0000160	26452	26790	-	339	0	1	0	0	0	0	0	0	0	0	0	0
Amillepora32497	Sc0000160	33684	34298	-	615	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora32496	Sc0000160	29998	33246	-	3249	26	14	26	15	20	27	3	2	3	3	2	3
Amillepora32503	Sc0000160	63167	63931	+	765	2	1	2	3	2	1	0	0	0	0	0	0
Amillepora32495	Sc0000160	29687	29970	-	284	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora32507	Sc0000160	77233	79718	+	2486	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora32509	Sc0000160	121068	123253	+	2186	3	1	0	3	6	3	8	4	7	8	2	7
Amillepora32502	Sc0000160	60790	62493	-	1704	0	0	0	1	0	0	0	1	4	2	3	2
Amillepora32508	Sc0000160	102450	103074	-	625	7	6	4	5	19	5	8	5	5	4	10	6
Amillepora32510	Sc0000160	125423	137625	-	12203	12	14	13	19	23	28	8	6	11	11	16	9
Amillepora32500	Sc0000160	47184	49055	-	1872	1	1	0	1	3	0	2	2	1	2	1	1
Amillepora32501	Sc0000160	50170	51461	-	1292	0	0	0	0	3	1	0	0	0	0	0	0
Amillepora32499	Sc0000160	40660	46113	-	5454	6	2	2	3	5	6	3	4	4	2	4	4
Amillepora32511	Sc0000160	152779	154423	-	1645	1	1	2	3	2	1	0	0	1	0	0	1
Amillepora32512	Sc0000160	178456	181349	-	2894	0	0	0	0	3	0	0	1	0	0	0	0
Amillepora32506	Sc0000160	70201	86009	-	15809	27	11	20	18	25	24	9	12	3	9	7	10
Amillepora32518	Sc0000160	214468	216798	-	2331	0	0	0	2	2	2	0	1	0	1	0	0
Amillepora32517	Sc0000160	202036	213292	-	11257	15	14	12	14	11	30	5	6	5	9	15	6
Amillepora32529	Sc0000160	358270	360086	+	1817	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora32528	Sc0000160	344060	348951	+	4892	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora32530	Sc0000160	378057	379871	+	1815	0	0	0	0	0	0	0	0	0	0	1	0
Amillepora32522	Sc0000160	281857	282216	-	360	0	0	0	0	0	0	0	0	0	0	1	0
Amillepora32524	Sc0000160	299624	301405	-	1782	1	0	1	0	0	0	0	0	0	0	0	0
Amillepora32519	Sc0000160	242947	247577	-	4631	3	4	1	2	2	6	5	11	7	2	16	8
Amillepora32526	Sc0000160	321709	363742	-	42034	140	90	85	113	135	154	72	110	68	79	91	92
Amillepora32533	Sc0000160	406338	409140	+	2803	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora32539	Sc0000160	431542	432291	+	750	0	0	0	0	0	0	0	0	1	0	0	0
Amillepora32535	Sc0000160	421611	422207	+	597	2	2	1	0	2	3	0	0	1	0	0	1
Amillepora32534	Sc0000160	409822	412293	+	2472	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora32546	Sc0000160	533715	534661	+	947	0	0	0	1	0	0	0	0	0	0	1	0
Amillepora32532	Sc0000160	385908	398310	+	12403	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora32547	Sc0000160	537145	539623	+	2479	0	0	1	0	0	0	1	0	0	0	3	0
Amillepora32543	Sc0000160	478988	481942	-	2955	8	3	6	11	4	7	3	6	5	6	4	2
Amillepora32541	Sc0000160	466721	472046	-	5326	19	21	20	19	22	24	6	8	6	6	7	8
Amillepora32531	Sc0000160	383685	409624	-	25940	6	5	4	3	5	3	2	2	2	1	8	5
Amillepora32545	Sc0000160	525171	525828	-	658	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora32537	Sc0000160	426850	429254	-	2405	10	6	5	13	7	14	2	0	1	2	1	0
Amillepora32540	Sc0000160	445213	448694	-	3482	5	3	3	5	6	6	4	10	5	10	5	5
Amillepora32538	Sc0000160	429312	430139	-	828	0	0	0	0	1	1	0	0	0	0	0	0
Amillepora32544	Sc0000160	515391	522964	-	7574	4	2	4	9	4	5	3	10	3	6	6	7
Amillepora32542	Sc0000160	476161	478295	-	2135	5	4	3	4	9	8	2	2	1	0	2	2
Amillepora35873	Sc0000232	18615	39444	+	20830	60	42	37	51	60	86	42	42	41	34	68	40
Amillepora35879	Sc0000232	123447	128666	+	5220	0	0	1	0	2	0	1	3	1	0	1	1
Amillepora35878	Sc0000232	116468	120708	+	4241	1	0	1	0	1	1	2	5	4	4	8	5
Amillepora35875	Sc0000232	113901	114204	+	304	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora35874	Sc0000232	61807	76128	+	14322	24	11	20	31	30	65	16	16	10	23	19	21
Amillepora35881	Sc0000232	154913	158983	-	4071	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora35882	Sc0000232	162280	166165	-	3886	0	0	1	0	0	1	0	0	0	0	0	0
Amillepora35876	Sc0000232	114728	115749	-	1022	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora35877	Sc0000232	115833	116222	-	390	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora35880	Sc0000232	148101	151934	+	3834	1	4	0	2	2	0	0	0	0	1	0	0
Amillepora36515	Sc0000251	124602	125474	+	873	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora36514	Sc0000251	121407	122627	+	1221	1	0	0	0	0	1	0	0	0	0	0	2
Amillepora36511	Sc0000251	80923	101652	+	20730	8	2	3	5	3	3	0	5	3	3	6	2
Amillepora36508	Sc0000251	182	16320	-	16139	81	60	50	76	95	99	38	44	35	45	55	42
Amillepora36512	Sc0000251	101680	103799	+	2120	0	0	0	0	0	0	1	0	0	0	0	0
Amillepora36513	Sc0000251	104701	105082	+	382	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora34154	Sc0000194	57838	61927	+	4090	3	0	1	0	7	0	1	1	0	0	0	1
Amillepora34152	Sc0000194	28203	29408	+	1206	0	0	0	0	0	0	0	0	0	0	1	0
Amillepora34151	Sc0000194	9470	9880	+	411	0	0	0	0	0	0	0	0	0	0	0	1
Amillepora34155	Sc0000194	143036	143706	+	671	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora34158	Sc0000194	198597	204247	+	5651	11	11	8	13	21	25	6	4	6	3	15	3
Amillepora34160	Sc0000194	238088	240968	-	2881	0	1	0	1	0	1	0	0	0	0	0	0
Amillepora34159	Sc0000194	204733	207927	+	3195	0	0	0	0	0	1	0	0	1	1	0	1
Amillepora35516	Sc0000226	154599	157927	+	3329	7	10	7	10	11	29	1	0	0	0	1	1
Amillepora35504	Sc0000226	6686	8915	+	2230	0	0	0	3	0	1	0	3	0	2	0	3
Amillepora35510	Sc0000226	82536	83776	+	1241	0	0	0	0	0	0	0	0	0	1	1	0
Amillepora35513	Sc0000226	107204	109928	+	2725	0	0	0	1	0	0	0	0	1	1	0	0
Amillepora35509	Sc0000226	66321	72377	+	6057	18	7	20	20	25	18	11	12	9	11	14	12
Amillepora35508	Sc0000226	39301	42458	-	3158	7	8	9	9	9	11	9	9	4	10	8	8
Amillepora35515	Sc0000226	148324	151450	-	3127	1	3	0	3	2	1	13	8	14	21	9	14
Amillepora35518	Sc0000226	170812	172201	-	1390	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora35511	Sc0000226	89308	94804	-	5497	4	4	2	4	3	7	0	0	0	0	0	0
Amillepora35506	Sc0000226	10789	11394	-	606	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora35514	Sc0000226	119309	124669	-	5361	3	6	2	3	3	4	0	0	0	0	0	1
Amillepora35512	Sc0000226	101806	106338	-	4533	4	4	0	3	4	3	2	2	2	3	2	2
Amillepora35505	Sc0000226	9697	10749	-	1053	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora35519	Sc0000226	172227	173331	-	1105	0	0	0	0	0	1	0	0	0	0	0	0
Amillepora35507	Sc0000226	11595	19670	-	8076	0	0	0	1	2	0	0	0	0	1	3	0
Amillepora35517	Sc0000226	165354	170590	-	5237	0	0	0	3	0	0	2	0	2	0	1	2
Amillepora33327	Sc0000175	7735	8376	+	642	0	0	0	0	1	0	0	0	0	0	0	0
Amillepora33330	Sc0000175	85539	86455	+	917	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora33326	Sc0000175	6597	7606	+	1010	0	0	2	0	1	0	8	7	5	9	3	7
Amillepora33328	Sc0000175	8762	9532	-	771	2	0	0	2	1	1	2	3	3	3	4	3
Amillepora33329	Sc0000175	79296	80837	+	1542	0	0	0	0	0	1	0	0	0	0	0	0
Amillepora33331	Sc0000175	86480	87815	+	1336	0	1	0	0	0	0	0	0	0	0	0	0
Amillepora33345	Sc0000175	176586	177869	+	1284	1	1	0	0	0	1	0	0	0	0	1	0
Amillepora33341	Sc0000175	128649	148204	+	19556	31	18	24	21	29	58	2	4	7	9	18	12
Amillepora33343	Sc0000175	143233	148627	-	5395	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora33340	Sc0000175	128492	131539	-	3048	0	0	0	0	0	0	0	1	0	0	1	2
Amillepora33342	Sc0000175	135292	135810	-	519	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora33334	Sc0000175	94097	94594	-	498	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora33332	Sc0000175	90447	91598	-	1152	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora33333	Sc0000175	91681	93747	-	2067	20	11	11	23	22	32	16	19	10	14	12	15
Amillepora33348	Sc0000175	219216	220187	+	972	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora33360	Sc0000175	367412	367873	+	462	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora33350	Sc0000175	245071	255311	+	10241	37	21	25	51	39	37	40	36	26	40	33	41
Amillepora33362	Sc0000175	385962	389493	+	3532	15	15	9	28	20	23	6	13	9	13	12	10
Amillepora33361	Sc0000175	378787	383720	+	4934	3	2	0	2	5	4	0	4	0	0	0	0
Amillepora33346	Sc0000175	196024	196656	+	633	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora33349	Sc0000175	226599	230143	+	3545	4	1	2	2	5	6	1	3	4	1	2	6
Amillepora33358	Sc0000175	330667	333383	-	2717	1	0	1	2	1	5	2	2	1	0	3	0
Amillepora33363	Sc0000175	389885	391005	-	1121	5	0	1	3	3	2	1	1	0	0	1	1
Amillepora33359	Sc0000175	354548	372230	-	17683	5	5	10	2	6	11	8	7	4	6	11	11
Amillepora33351	Sc0000175	268148	272666	-	4519	77	50	61	65	77	69	55	57	70	81	100	63
Amillepora33357	Sc0000175	328261	329930	+	1670	2	1	3	2	9	5	5	3	4	7	4	2
Amillepora35032	Sc0000217	39474	43518	+	4045	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora35031	Sc0000217	26304	27761	+	1458	1	0	0	0	0	0	0	1	0	0	0	3
Amillepora35034	Sc0000217	53283	56018	+	2736	1	2	0	1	1	1	2	1	1	1	2	3
Amillepora35037	Sc0000217	73899	75600	-	1702	0	3	0	1	0	1	3	4	5	2	8	3
Amillepora35029	Sc0000217	19096	23709	-	4614	4	5	2	2	8	1	2	3	1	3	1	4
Amillepora35036	Sc0000217	61829	62903	-	1075	5	3	2	2	0	1	3	2	1	0	1	3
Amillepora35043	Sc0000217	155630	156052	+	423	1	1	0	0	1	0	1	1	1	0	1	1
Amillepora35039	Sc0000217	87897	89798	+	1902	2	2	3	3	0	4	0	0	0	1	1	0
Amillepora35049	Sc0000217	228190	228519	+	330	1	0	0	0	1	0	0	0	0	0	1	0
Amillepora35040	Sc0000217	98951	119923	+	20973	48	31	36	58	47	55	2	4	2	6	5	7
Amillepora35038	Sc0000217	82948	84549	+	1602	0	0	0	1	0	0	0	0	0	0	0	0
Amillepora35045	Sc0000217	164245	172184	-	7940	6	5	4	11	18	18	2	0	2	1	2	5
Amillepora35048	Sc0000217	202392	227235	-	24844	30	34	31	35	43	75	15	27	15	30	26	28
Amillepora35041	Sc0000217	140170	144605	-	4436	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora35042	Sc0000217	144735	146213	-	1479	0	0	1	0	0	0	0	0	0	0	0	0
Amillepora35044	Sc0000217	160089	161756	+	1668	0	1	0	0	0	0	0	1	0	0	0	0
Amillepora34240	Sc0000197	12783	14318	-	1536	3	5	5	4	6	1	2	4	3	1	2	2
Amillepora34250	Sc0000197	99879	103631	+	3753	17	11	15	8	8	16	10	9	8	10	7	5
Amillepora34251	Sc0000197	112483	113840	+	1358	3	5	7	11	7	4	4	4	8	4	10	2
Amillepora34241	Sc0000197	16299	17636	+	1338	20	14	7	19	18	24	7	5	6	8	8	9
Amillepora34253	Sc0000197	132047	132535	+	489	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora34255	Sc0000197	152221	154691	+	2471	2	3	0	1	4	5	7	1	0	2	2	2
Amillepora34252	Sc0000197	131516	132007	+	492	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora34256	Sc0000197	186649	187908	-	1260	0	0	3	1	1	2	0	0	0	0	3	1
Amillepora34254	Sc0000197	134099	135489	+	1391	0	0	0	0	1	0	0	0	0	1	1	1
Amillepora34262	Sc0000197	227607	232453	+	4847	1	2	2	6	5	7	3	3	1	4	1	2
Amillepora34260	Sc0000197	208334	210847	+	2514	2	3	1	1	3	6	4	2	3	2	2	2
Amillepora34261	Sc0000197	215901	216460	+	560	0	0	0	1	0	0	0	0	0	1	0	1
Amillepora34258	Sc0000197	202262	202711	-	450	0	2	0	0	1	0	0	0	0	0	0	0
Amillepora34264	Sc0000197	251774	252214	-	441	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora34257	Sc0000197	198511	198798	-	288	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora34263	Sc0000197	234382	245188	-	10807	13	18	19	18	18	20	9	13	13	16	14	16
Amillepora35967	Sc0000234	80819	83519	+	2701	1	0	1	0	1	0	2	0	0	0	2	1
Amillepora35970	Sc0000234	88430	138517	+	50088	395	247	283	392	365	286	250	299	266	262	315	273
Amillepora35971	Sc0000234	140714	141082	+	369	6	3	6	2	1	2	1	3	1	3	3	5
Amillepora35964	Sc0000234	51404	52695	+	1292	1	0	0	1	1	2	0	0	0	0	0	1
Amillepora35969	Sc0000234	87694	88373	-	680	20	6	11	16	6	6	16	9	6	15	7	5
Amillepora35968	Sc0000234	84660	87102	-	2443	331	171	263	259	210	299	260	239	145	176	152	175
Amillepora35966	Sc0000234	62118	70381	-	8264	14	6	11	20	24	20	3	5	8	4	11	7
Amillepora33080	Sc0000171	306	20602	+	20297	210	107	167	219	208	216	154	135	132	152	187	165
Amillepora33082	Sc0000171	34838	38419	-	3582	0	1	1	0	3	2	0	0	0	0	1	0
Amillepora33081	Sc0000171	33062	34548	-	1487	0	0	0	0	0	0	1	0	0	0	0	0
Amillepora33089	Sc0000171	109496	111084	+	1589	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora33085	Sc0000171	94260	95195	+	936	6	1	5	4	5	6	2	2	1	2	0	2
Amillepora33086	Sc0000171	98187	107980	+	9794	1	1	0	0	0	4	0	0	0	0	1	0
Amillepora33083	Sc0000171	77216	93492	-	16277	22	32	10	27	32	39	8	8	12	9	9	8
Amillepora33090	Sc0000171	131552	141895	-	10344	37	21	20	40	36	42	27	26	23	41	36	31
Amillepora33088	Sc0000171	107318	114053	-	6736	2	2	2	0	3	3	2	1	0	3	1	3
Amillepora33087	Sc0000171	102154	107307	-	5154	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora33100	Sc0000171	285154	287781	+	2628	0	0	0	0	0	0	0	0	0	0	0	2
Amillepora33091	Sc0000171	163985	164319	+	335	3	2	6	3	4	4	4	1	3	0	1	4
Amillepora33093	Sc0000171	192690	212591	+	19902	35	26	24	32	48	55	35	57	50	52	70	68
Amillepora33095	Sc0000171	220794	223983	+	3190	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora33097	Sc0000171	237057	238414	+	1358	0	1	0	0	0	1	0	0	0	0	0	0
Amillepora33099	Sc0000171	281275	284994	+	3720	14	7	15	15	25	41	18	19	8	11	12	14
Amillepora33096	Sc0000171	224049	225081	+	1033	2	0	1	3	1	3	3	5	5	13	15	4
Amillepora33092	Sc0000171	175019	182397	-	7379	8	5	6	10	9	11	7	6	2	7	8	6
Amillepora33098	Sc0000171	260955	263129	-	2175	7	5	8	8	5	7	3	2	4	2	6	2
Amillepora33094	Sc0000171	218581	224316	-	5736	3	2	2	3	4	5	7	2	4	8	5	7
Amillepora33107	Sc0000171	352608	362431	+	9824	5	0	4	3	4	5	10	8	12	11	17	9
Amillepora33112	Sc0000171	429393	430499	+	1107	1	0	1	0	1	1	0	0	0	0	1	0
Amillepora33109	Sc0000171	400718	425532	+	24815	33	38	39	48	40	71	20	20	13	22	35	23
Amillepora33113	Sc0000171	430706	432392	+	1687	4	2	3	10	5	4	3	2	2	1	2	3
Amillepora33111	Sc0000171	425975	428435	+	2461	6	3	8	10	6	7	3	7	6	6	7	3
Amillepora33103	Sc0000171	323535	324620	-	1086	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora33110	Sc0000171	409295	409765	-	471	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora33101	Sc0000171	294902	295823	-	922	0	0	0	0	0	0	2	2	1	2	5	0
Amillepora33108	Sc0000171	381880	382164	-	285	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora33114	Sc0000171	436314	440314	-	4001	0	1	1	0	1	0	0	0	0	0	0	0
Amillepora33105	Sc0000171	340823	341915	-	1093	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora33106	Sc0000171	342253	351738	-	9486	34	37	27	35	54	46	26	43	30	42	58	36
Amillepora32316	Sc0000155	26514	82644	+	56131	186	120	136	198	193	223	131	163	137	163	184	175
Amillepora32314	Sc0000155	681	3227	+	2547	0	0	0	0	0	0	0	0	0	0	0	1
Amillepora32315	Sc0000155	4121	18543	+	14423	130	75	113	129	137	146	186	151	108	169	135	182
Amillepora32317	Sc0000155	28221	29687	-	1467	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora32327	Sc0000155	275048	280741	+	5694	0	0	0	1	1	0	1	0	0	1	2	4
Amillepora32326	Sc0000155	249914	250987	+	1074	1	0	1	1	2	1	2	1	0	2	1	1
Amillepora32324	Sc0000155	188702	189844	-	1143	0	1	1	3	2	1	2	3	1	1	4	2
Amillepora32322	Sc0000155	151241	151717	-	477	2	5	9	7	8	6	8	5	8	6	11	11
Amillepora32323	Sc0000155	151727	151960	-	234	2	6	0	2	4	6	3	1	5	6	5	6
Amillepora32319	Sc0000155	103517	116157	-	12641	116	71	91	93	113	121	90	92	79	124	84	117
Amillepora32321	Sc0000155	133136	137487	-	4352	5	6	3	6	3	7	9	4	4	13	7	4
Amillepora32320	Sc0000155	116429	132409	-	15981	35	33	36	55	63	77	25	42	50	51	54	53
Amillepora32325	Sc0000155	227218	232150	-	4933	0	0	0	0	0	1	0	0	0	1	0	0
Amillepora32331	Sc0000155	303812	304960	+	1149	2	2	3	0	0	2	2	2	1	5	1	3
Amillepora32329	Sc0000155	290672	291025	-	354	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora32328	Sc0000155	290197	290466	-	270	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora32330	Sc0000155	291651	294857	+	3207	0	0	0	1	0	2	1	0	3	0	3	1
Amillepora32345	Sc0000155	456041	456676	+	636	0	0	0	0	0	1	0	0	0	0	0	0
Amillepora32356	Sc0000155	521092	528266	+	7175	11	9	8	14	20	13	16	10	13	14	15	22
Amillepora32344	Sc0000155	443812	448765	+	4954	1	1	0	1	0	2	5	4	1	5	9	7
Amillepora32354	Sc0000155	510307	512046	+	1740	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora32359	Sc0000155	540931	541470	+	540	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora32335	Sc0000155	387845	398072	+	10228	39	29	26	46	51	43	41	53	50	45	66	63
Amillepora32341	Sc0000155	404284	437531	+	33248	13	10	10	16	13	23	27	32	27	31	41	38
Amillepora32332	Sc0000155	362769	372117	+	9349	8	15	13	21	25	23	24	12	15	10	22	21
Amillepora32334	Sc0000155	381281	384249	+	2969	4	1	1	2	4	2	1	3	1	2	1	1
Amillepora32347	Sc0000155	473678	474625	+	948	2	0	0	1	0	0	0	0	0	0	0	0
Amillepora32350	Sc0000155	484625	485738	-	1114	0	0	0	1	1	2	0	0	0	0	0	0
Amillepora32351	Sc0000155	487528	488582	-	1055	1	0	1	2	1	1	0	0	0	0	0	0
Amillepora32355	Sc0000155	517223	520824	-	3602	1	1	0	1	3	5	1	1	2	4	11	4
Amillepora32361	Sc0000155	559961	560779	-	819	4	0	0	1	1	0	0	2	0	3	3	0
Amillepora32353	Sc0000155	496876	500686	-	3811	5	9	3	4	9	10	4	5	6	3	6	6
Amillepora32360	Sc0000155	556766	559912	-	3147	2	0	2	1	3	0	0	1	1	3	5	5
Amillepora32343	Sc0000155	423498	438019	-	14522	0	0	0	0	1	0	1	0	0	2	1	0
Amillepora33690	Sc0000178	1239	6555	-	5317	3	2	0	1	3	3	2	0	1	2	3	5
Amillepora33692	Sc0000178	38962	69232	-	30271	46	37	38	54	78	61	53	61	35	51	62	59
